ID,store_ID,article_ID,businessDate,expiresOn,hoursToExpiry,onHand,forecastSellThrough,projectedWaste,recommendedDiscountPct,expectedRecovery,wasteCostAvoided,marginImpact,currency_code,criticality,state,reasoning
MD-000099,MUC01,AR00135,2026-07-03,2026-07-05,33,5.376,0.037,5.339,50,0.3,0.32,0.5,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.3 instead of writing off 5.3 units.
MD-000100,MUC01,AR00242,2026-07-03,2026-07-04,9,5.149,0.051,5.098,50,0.29,0.32,0.49,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.29 instead of writing off 5.1 units.
MD-000101,STR01,AR00244,2026-07-03,2026-07-04,9,4.019,0.047,3.972,50,0.27,0.29,0.45,EUR,1,OPEN,4 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.27 instead of writing off 4 units.
MD-000102,WDF01,AR00189,2026-07-03,2026-07-04,9,7.272,0.055,7.217,50,0.28,0.26,0.43,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.28 instead of writing off 7.2 units.
MD-000103,STR01,AR00188,2026-07-03,2026-07-04,9,7.75,0.067,7.683,50,0.28,0.27,0.43,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.28 instead of writing off 7.7 units.
MD-000104,STR01,AR00240,2026-07-03,2026-07-04,9,5.454,0.055,5.399,50,0.24,0.26,0.41,EUR,1,OPEN,5 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.24 instead of writing off 5.4 units.
MD-000105,WDF01,AR00013,2026-07-03,2026-07-04,9,7.663,0.063,7.6,50,0.26,0.25,0.4,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.26 instead of writing off 7.6 units.
MD-000106,BLN01,AR00194,2026-07-03,2026-07-04,8,7.643,0.061,7.582,50,0.25,0.24,0.39,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.25 instead of writing off 7.6 units.
MD-000107,WDF01,AR00031,2026-07-03,2026-07-04,9,7.667,0.071,7.596,50,0.25,0.24,0.38,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.25 instead of writing off 7.6 units.
MD-000108,HAM01,AR00204,2026-07-03,2026-07-04,7,7.502,0.058,7.444,50,0.24,0.23,0.37,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.24 instead of writing off 7.4 units.
MD-000109,WDF01,AR00193,2026-07-03,2026-07-04,9,7.143,0.071,7.072,50,0.23,0.22,0.36,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.23 instead of writing off 7.1 units.
MD-000110,STR01,AR00005,2026-07-03,2026-07-05,33,7.79,0.097,7.693,50,0.22,0.23,0.36,EUR,1,OPEN,8 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.5 units and recovers EUR 0.22 instead of writing off 7.7 units.
MD-000111,HAM01,AR00203,2026-07-03,2026-07-04,7,7.115,0.041,7.074,50,0.23,0.22,0.36,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 7h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.23 instead of writing off 7.1 units.
MD-000112,WDF02,AR00005,2026-07-03,2026-07-05,19,6.773,0.081,6.692,50,0.19,0.19,0.3,EUR,1,OPEN,7 units on hand against 0.1 expected to sell in the 19h left. A 50% markdown lifts expected sales to 0.4 units and recovers EUR 0.19 instead of writing off 6.7 units.
MD-000113,BLN01,AR00190,2026-07-03,2026-07-04,8,6.463,0.056,6.407,50,0.19,0.19,0.3,EUR,1,OPEN,6 units on hand against 0.1 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.3 units and recovers EUR 0.19 instead of writing off 6.4 units.
MD-000114,STR01,AR00243,2026-07-03,2026-07-04,9,5.231,0.031,5.2,50,0.18,0.19,0.29,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.18 instead of writing off 5.2 units.
MD-000115,BLN01,AR00204,2026-07-03,2026-07-04,8,7.341,0.046,7.295,50,0.19,0.18,0.29,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.19 instead of writing off 7.3 units.
MD-000116,WDF01,AR00194,2026-07-03,2026-07-04,9,7.611,0.043,7.568,50,0.18,0.17,0.27,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.18 instead of writing off 7.6 units.
MD-000117,BLN01,AR00203,2026-07-03,2026-07-04,8,7.831,0.031,7.8,50,0.18,0.16,0.27,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 8h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.18 instead of writing off 7.8 units.
MD-000118,STR01,AR00109,2026-07-03,2026-07-05,33,7.781,0.037,7.744,50,0.17,0.16,0.26,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.17 instead of writing off 7.7 units.
MD-000119,WDF01,AR00190,2026-07-03,2026-07-04,9,5.181,0.047,5.134,50,0.16,0.16,0.25,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.16 instead of writing off 5.1 units.
MD-000120,WDF01,AR00203,2026-07-03,2026-07-04,9,7.804,0.029,7.775,50,0.16,0.15,0.25,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.16 instead of writing off 7.8 units.
MD-000121,MUC01,AR00031,2026-07-03,2026-07-04,9,7.464,0.043,7.421,50,0.15,0.14,0.23,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.15 instead of writing off 7.4 units.
MD-000122,STR01,AR00189,2026-07-03,2026-07-04,9,7.169,0.029,7.14,50,0.14,0.14,0.22,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.14 instead of writing off 7.1 units.
MD-000123,MUC01,AR00193,2026-07-03,2026-07-04,9,7.791,0.043,7.748,50,0.14,0.13,0.22,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.2 units and recovers EUR 0.14 instead of writing off 7.7 units.
MD-000124,WDF02,AR00241,2026-07-03,2026-07-04,5,5.66,0.019,5.641,50,0.11,0.12,0.19,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.11 instead of writing off 5.6 units.
MD-000125,MUC01,AR00189,2026-07-03,2026-07-04,9,7.242,0.024,7.218,50,0.12,0.12,0.19,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.12 instead of writing off 7.2 units.
MD-000126,MUC01,AR00013,2026-07-03,2026-07-04,9,7.548,0.026,7.522,50,0.11,0.1,0.17,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.11 instead of writing off 7.5 units.
MD-000127,MUC01,AR00194,2026-07-03,2026-07-04,9,7.599,0.026,7.573,50,0.11,0.1,0.17,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.11 instead of writing off 7.6 units.
MD-000128,STR01,AR00242,2026-07-03,2026-07-04,9,5.293,0.016,5.277,50,0.09,0.1,0.16,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.09 instead of writing off 5.3 units.
MD-000129,MUC01,AR00190,2026-07-03,2026-07-04,9,6.726,0.029,6.697,50,0.1,0.1,0.15,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.1 instead of writing off 6.7 units.
MD-000130,STR01,AR00193,2026-07-03,2026-07-04,9,7.886,0.029,7.857,50,0.09,0.09,0.14,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.09 instead of writing off 7.9 units.
MD-000131,MUC01,AR00203,2026-07-03,2026-07-04,9,7.556,0.016,7.54,50,0.09,0.09,0.14,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.09 instead of writing off 7.5 units.
MD-000132,WDF01,AR00204,2026-07-03,2026-07-04,9,7.33,0.02,7.31,50,0.08,0.08,0.13,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.08 instead of writing off 7.3 units.
MD-000133,WDF02,AR00242,2026-07-03,2026-07-04,5,5.144,0.014,5.13,50,0.08,0.08,0.13,EUR,1,OPEN,5 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.08 instead of writing off 5.1 units.
MD-000134,WDF02,AR00188,2026-07-03,2026-07-04,5,7.851,0.019,7.832,50,0.08,0.08,0.12,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.08 instead of writing off 7.8 units.
MD-000135,STR01,AR00190,2026-07-03,2026-07-04,9,6.141,0.022,6.119,50,0.08,0.07,0.12,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.08 instead of writing off 6.1 units.
MD-000136,MUC01,AR00204,2026-07-03,2026-07-04,9,7.428,0.018,7.41,50,0.08,0.07,0.12,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.08 instead of writing off 7.4 units.
MD-000137,WDF02,AR00243,2026-07-03,2026-07-04,5,5.804,0.012,5.792,50,0.07,0.07,0.11,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.07 instead of writing off 5.8 units.
MD-000138,STR01,AR00031,2026-07-03,2026-07-04,9,7.117,0.02,7.097,50,0.07,0.07,0.11,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.07 instead of writing off 7.1 units.
MD-000139,STR01,AR00194,2026-07-03,2026-07-04,9,7.545,0.016,7.529,50,0.07,0.06,0.1,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.07 instead of writing off 7.5 units.
MD-000140,WDF02,AR00013,2026-07-03,2026-07-04,5,7.715,0.014,7.701,50,0.06,0.05,0.09,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.06 instead of writing off 7.7 units.
MD-000141,WDF02,AR00240,2026-07-03,2026-07-04,5,5.892,0.012,5.88,50,0.05,0.06,0.09,EUR,1,OPEN,6 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.05 instead of writing off 5.9 units.
MD-000142,STR01,AR00203,2026-07-03,2026-07-04,9,7.278,0.01,7.268,50,0.06,0.05,0.09,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.06 instead of writing off 7.3 units.
MD-000143,WDF02,AR00190,2026-07-03,2026-07-04,5,6.741,0.016,6.725,50,0.05,0.05,0.08,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.05 instead of writing off 6.7 units.
MD-000144,WDF02,AR00189,2026-07-03,2026-07-04,5,7.756,0.01,7.746,50,0.05,0.05,0.08,EUR,1,OPEN,8 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0 units and recovers EUR 0.05 instead of writing off 7.7 units.
MD-000145,STR01,AR00013,2026-07-03,2026-07-04,9,7.243,0.012,7.231,50,0.05,0.05,0.08,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 9h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.05 instead of writing off 7.2 units.
MD-000146,WDF02,AR00031,2026-07-03,2026-07-04,5,7.368,0.012,7.356,50,0.04,0.04,0.06,EUR,1,OPEN,7 units on hand against 0 expected to sell in the 5h left. A 50% markdown lifts expected sales to 0.1 units and recovers EUR 0.04 instead of writing off 7.4 units.
