ID,store_ID,scenario,title,narrative,severity,impactValue,confidence,detectedOn,sourceEntity,sourceId,recommendedAction,criticality,currency_code,state
IN-000070,HAM01,WASTE_MARKDOWN,Mark GO FRESH Tuna Sandwich down 50%,S.Mart Hamburg Hafencity: 6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 2.58 instead of writing off 5.4 units.,HIGH,4.25,0.613,2026-07-03,MarkdownRecommendations,MD-000010,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000071,HAM01,WASTE_MARKDOWN,Mark GO FRESH Wrap Chicken Chi down 50%,S.Mart Hamburg Hafencity: 6 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.4 units and recovers EUR 2.51 instead of writing off 5.2 units.,HIGH,4.14,0.613,2026-07-03,MarkdownRecommendations,MD-000011,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000072,HAM01,WASTE_MARKDOWN,Mark HOMEMADE BUN HAM down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.4 expected to sell in the 7h left. A 50% markdown lifts expected sales to 2 units and recovers EUR 2.29 instead of writing off 4.9 units.,HIGH,3.83,0.619,2026-07-03,MarkdownRecommendations,MD-000012,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000073,HAM01,WASTE_MARKDOWN,Mark GO FRESH Sanw Schink Goud down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.2 units and recovers EUR 2.16 instead of writing off 5 units.,HIGH,3.57,0.612,2026-07-03,MarkdownRecommendations,MD-000013,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000074,BLN01,WASTE_MARKDOWN,Mark GO FRESH Tuna Sandwich down 50%,S.Mart Berlin Rosenthaler: 6 units on hand against 0.2 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1.2 units and recovers EUR 2.09 instead of writing off 5.3 units.,HIGH,3.46,0.611,2026-07-03,MarkdownRecommendations,MD-000014,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000075,HAM01,WASTE_MARKDOWN,Mark HOMEMADE BUN VEGAN down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.3 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 1.78 instead of writing off 4.5 units.,HIGH,2.97,0.616,2026-07-03,MarkdownRecommendations,MD-000016,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000076,HAM01,WASTE_MARKDOWN,Mark Oreo Classic down 50%,S.Mart Hamburg Hafencity: 8 units on hand against 0.3 expected to sell in the 22h left. A 50% markdown lifts expected sales to 1.5 units and recovers EUR 1.97 instead of writing off 7.3 units.,HIGH,2.99,0.61,2026-07-03,MarkdownRecommendations,MD-000015,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000077,BLN01,WASTE_MARKDOWN,Mark GO FRESH Wrap Chicken Chi down 50%,S.Mart Berlin Rosenthaler: 5 units on hand against 0.2 expected to sell in the 25h left. A 50% markdown lifts expected sales to 1 units and recovers EUR 1.75 instead of writing off 4.9 units.,HIGH,2.88,0.61,2026-07-03,MarkdownRecommendations,MD-000017,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000078,HAM01,WASTE_MARKDOWN,Mark HOMEMADE BUN Cheese down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.4 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.9 units and recovers EUR 1.67 instead of writing off 4.4 units.,HIGH,2.81,0.62,2026-07-03,MarkdownRecommendations,MD-000018,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000079,WDF01,MERCHANDISING,"Welde Alkoholfrei attaches to Leergut 0,08 EUR","S.Mart Walldorf Campus: the pair appears in 23 baskets at 7.14x lift and 19.7% confidence, but sits in different zones today.",MEDIUM,3.45,0.498,2026-07-03,BasketAffinities,AF-000004,"Add a secondary facing of Welde Alkoholfrei beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000080,HAM01,WASTE_MARKDOWN,Mark GO FRESH Wrap Linse Falaf down 50%,S.Mart Hamburg Hafencity: 3 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.9 units and recovers EUR 1.67 instead of writing off 2.8 units.,HIGH,2.76,0.616,2026-07-03,MarkdownRecommendations,MD-000019,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000081,HAM01,WASTE_MARKDOWN,Mark HOMEMADE BUN Veggie Laugenecke Tom Moz down 50%,S.Mart Hamburg Hafencity: 3 units on hand against 0.3 expected to sell in the 7h left. A 50% markdown lifts expected sales to 1.3 units and recovers EUR 1.53 instead of writing off 2.9 units.,HIGH,2.56,0.621,2026-07-03,MarkdownRecommendations,MD-000020,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000082,BLN01,WASTE_MARKDOWN,Mark Nissin Cup Noodles Chicke down 50%,S.Mart Berlin Rosenthaler: 6 units on hand against 0.2 expected to sell in the 59h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 1.35 instead of writing off 5.4 units.,HIGH,2.26,0.61,2026-07-03,MarkdownRecommendations,MD-000021,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000083,WDF01,WASTE_MARKDOWN,Mark Nissin Cup Noodles Chicke down 50%,S.Mart Walldorf Campus: 5 units on hand against 0.2 expected to sell in the 81h left. A 50% markdown lifts expected sales to 1.1 units and recovers EUR 1.32 instead of writing off 5.2 units.,HIGH,2.19,0.61,2026-07-03,MarkdownRecommendations,MD-000022,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000084,HAM01,WASTE_MARKDOWN,Mark GO FRESH Sandw SweetChili down 50%,S.Mart Hamburg Hafencity: 5 units on hand against 0.2 expected to sell in the 22h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.32 instead of writing off 4.9 units.,HIGH,2.19,0.607,2026-07-03,MarkdownRecommendations,MD-000023,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000085,HAM01,PERSONALISATION,Offer DPG Vitamin Well Reload at 10%,S.Mart Hamburg Hafencity: Buys DPG Vitamin Well Reload about every 38 days and is 87 days on from the last one.,LOW,1.53,0.868,2026-07-03,NextBestOffers,NBO-000824,Send via the S.Mart app.,3,EUR,OPEN
IN-000086,STR01,PERSONALISATION,"Offer Red Bull 0,25 at 13%","S.Mart St. Leon-Rot: Buys Red Bull 0,25 about every 32.5 days and is 57 days on from the last one.",LOW,1.4,0.943,2026-07-03,NextBestOffers,NBO-000353,Send via the S.Mart app.,3,EUR,OPEN
IN-000087,WDF01,WASTE_MARKDOWN,Mark GO FRESH Wrap Chicken Chi down 50%,S.Mart Walldorf Campus: 6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.31 instead of writing off 5.8 units.,HIGH,2.16,0.606,2026-07-03,MarkdownRecommendations,MD-000024,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000088,WDF01,WASTE_MARKDOWN,Mark GO FRESH Tuna Sandwich down 50%,S.Mart Walldorf Campus: 6 units on hand against 0.1 expected to sell in the 33h left. A 50% markdown lifts expected sales to 0.7 units and recovers EUR 1.31 instead of writing off 5.7 units.,HIGH,2.15,0.606,2026-07-03,MarkdownRecommendations,MD-000025,Apply a 50% markdown at the shelf label now.,1,EUR,OPEN
IN-000089,MUC01,PERSONALISATION,Offer Welde Alkoholfrei at 11%,S.Mart Munich Werksviertel: Buys Welde Alkoholfrei about every 43 days and is 91 days on from the last one.,LOW,1.39,0.923,2026-07-03,NextBestOffers,NBO-000001,Send via the S.Mart app.,3,EUR,OPEN
IN-000090,HAM01,PERSONALISATION,Offer Croissant Schnecke at 8%,S.Mart Hamburg Hafencity: Buys Croissant Schnecke about every 27.5 days and is 45 days on from the last one.,LOW,1.45,0.877,2026-07-03,NextBestOffers,NBO-000594,Send via the S.Mart app.,3,EUR,OPEN
IN-000091,HAM01,PERSONALISATION,Offer Laugenbrezel mit Butter at 10%,S.Mart Hamburg Hafencity: Buys Laugenbrezel mit Butter about every 17.5 days and is 30 days on from the last one.,LOW,1.41,0.864,2026-07-03,NextBestOffers,NBO-000278,Send via the S.Mart app.,3,EUR,OPEN
IN-000092,BLN01,PERSONALISATION,"Offer Red Bull 0,25 at 8%","S.Mart Berlin Rosenthaler: Buys Red Bull 0,25 about every 27 days and is 53 days on from the last one.",LOW,1.32,0.846,2026-07-03,NextBestOffers,NBO-000171,Send via the S.Mart app.,3,EUR,OPEN
IN-000093,STR01,PERSONALISATION,"Offer Red Bull 0,25 at 11%","S.Mart St. Leon-Rot: Buys Red Bull 0,25 about every 52 days and is 59 days on from the last one.",LOW,1.25,0.828,2026-07-03,NextBestOffers,NBO-000538,Send via the S.Mart app.,3,EUR,OPEN
IN-000094,WDF02,PERSONALISATION,Offer FUZE T PFIRSICH at 20%,"S.Mart Walldorf WDF03: FUZE T PFIRSICH sells with Leergut 0,15 EUR at 3.69x lift, and that is one of this customer's regular buys.",LOW,1.11,0.812,2026-07-03,NextBestOffers,NBO-000451,Send via the S.Mart app.,3,EUR,OPEN
IN-000095,WDF02,PERSONALISATION,Offer Teinacher Apfelschorle at 20%,"S.Mart Walldorf WDF03: Teinacher Apfelschorle sells with Leergut 0,15 EUR at 3.5x lift, and that is one of this customer's regular buys.",LOW,1.04,0.812,2026-07-03,NextBestOffers,NBO-000452,Send via the S.Mart app.,3,EUR,OPEN
IN-000096,WDF02,PERSONALISATION,"Offer Coca Cola Zero 0,4L Glas Mehrweg at 20%","S.Mart Walldorf WDF03: Coca Cola Zero 0,4L Glas Mehrweg sells with Leergut 0,15 EUR at 3.42x lift, and that is one of this customer's regular buys.",LOW,0.98,0.812,2026-07-03,NextBestOffers,NBO-000453,Send via the S.Mart app.,3,EUR,OPEN
IN-000097,HAM01,PERSONALISATION,Offer Twix Xtra 75g at 11%,S.Mart Hamburg Hafencity: Buys Twix Xtra 75g about every 31.5 days and is 92 days on from the last one.,LOW,0.92,0.859,2026-07-03,NextBestOffers,NBO-000426,Send via the S.Mart app.,3,EUR,OPEN
IN-000098,WDF01,MERCHANDISING,"DPG Vitamin Well Reload attaches to Leergut 0,25 EUR","S.Mart Walldorf Campus: the pair appears in 41 baskets at 1.86x lift and 7.9% confidence, but sits in different zones today.",LOW,0.82,0.44,2026-07-03,BasketAffinities,AF-000015,"Add a secondary facing of DPG Vitamin Well Reload beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone).",3,EUR,OPEN
IN-000099,WDF01,MERCHANDISING,"Welde Naturradler attaches to Leergut 0,08 EUR","S.Mart Walldorf Campus: the pair appears in 8 baskets at 9.52x lift and 6.8% confidence, but sits in different zones today.",MEDIUM,0.4,0.434,2026-07-03,BasketAffinities,AF-000002,"Add a secondary facing of Welde Naturradler beside Leergut 0,08 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000100,HAM01,MERCHANDISING,DPG Vitamin Well Reload attaches to Koro Protein Bar Schoko Brownie,"S.Mart Hamburg Hafencity: the pair appears in 8 baskets at 2.19x lift and 8.4% confidence, but sits in different zones today.",LOW,0.24,0.442,2026-07-03,BasketAffinities,AF-000012,Add a secondary facing of DPG Vitamin Well Reload beside Koro Protein Bar Schoko Brownie (AMBIENT vs CHILLED zone).,3,EUR,OPEN
IN-000101,MUC01,PERSONALISATION,"Offer Leergut 0,15 EUR at 10%","S.Mart Munich Werksviertel: Buys Leergut 0,15 EUR about every 35.5 days and is 50 days on from the last one.",LOW,0.11,0.808,2026-07-03,NextBestOffers,NBO-000013,Send via the S.Mart app.,3,EUR,OPEN
IN-000102,WDF01,MERCHANDISING,"Teinacher Mango Maracuja attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 10 baskets at 2.62x lift and 3.9% confidence, but sits in different zones today.",LOW,0.2,0.42,2026-07-03,BasketAffinities,AF-000009,"Add a secondary facing of Teinacher Mango Maracuja beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",3,EUR,OPEN
IN-000103,WDF01,MERCHANDISING,"FUZE T PFIRSICH attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 9 baskets at 3.69x lift and 3.5% confidence, but sits in different zones today.",MEDIUM,0.18,0.418,2026-07-03,BasketAffinities,AF-000005,"Add a secondary facing of FUZE T PFIRSICH beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000104,WDF01,MERCHANDISING,"Teinacher Apfelschorle attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 8 baskets at 3.5x lift and 3.1% confidence, but sits in different zones today.",MEDIUM,0.16,0.416,2026-07-03,BasketAffinities,AF-000006,"Add a secondary facing of Teinacher Apfelschorle beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",2,EUR,OPEN
IN-000105,WDF01,MERCHANDISING,"Mezzo Mix 0,4L Glas Mehrweg attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 9 baskets at 2.18x lift and 3.5% confidence, but sits in different zones today.",LOW,0.09,0.418,2026-07-03,BasketAffinities,AF-000013,"Add a secondary facing of Mezzo Mix 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",3,EUR,OPEN
IN-000106,WDF01,MERCHANDISING,"Coca Cola 0,4L Glas Mehrweg attaches to Leergut 0,15 EUR","S.Mart Walldorf Campus: the pair appears in 8 baskets at 2.18x lift and 3.1% confidence, but sits in different zones today.",LOW,0.08,0.416,2026-07-03,BasketAffinities,AF-000014,"Add a secondary facing of Coca Cola 0,4L Glas Mehrweg beside Leergut 0,15 EUR (AMBIENT vs CHILLED zone).",3,EUR,OPEN
IN-000107,WDF01,MERCHANDISING,"Red Bull Sea Blue Edition attaches to Leergut 0,25 EUR","S.Mart Walldorf Campus: the pair appears in 12 baskets at 1.84x lift and 2.3% confidence, but sits in different zones today.",LOW,0,0.412,2026-07-03,BasketAffinities,AF-000016,"Add a secondary facing of Red Bull Sea Blue Edition beside Leergut 0,25 EUR (AMBIENT vs CHILLED zone).",3,EUR,OPEN
