ID,store_ID,posSystem_ID,article_ID,detectedOn,pattern,severity,criticality,state,anomalyScore,cancellationRate,baselineRate,valueAtRisk,currency_code,evidence,recommendedAction
SA-000145,WDF02,PF-WDF02,AR00401,2026-05-25,RFID_MISREAD,MEDIUM,2,OPEN,46.05,0.8,0.4,9.6,EUR,"Cancellation rate 80.0% against a network baseline of 40.0% for this article (3 events, 8 units). Counted stock runs 13.2% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000146,STR01,PF-STR01,AR90051,2026-07-02,RFID_MISREAD,MEDIUM,2,OPEN,45.93,0.8889,0.4545,12.8,EUR,"Cancellation rate 88.9% against a network baseline of 45.5% for this article (4 events, 8 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000147,MUC01,SM-MUC01,AR00055,2026-06-24,STOCK_VARIANCE,MEDIUM,2,OPEN,45.87,0.5,0.4713,15,EUR,"Counted stock runs 19.0% below book stock across 21 daily counts. Cancellation rate 50.0% against a network baseline of 47.1% for this article (3 events, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000148,STR01,PF-STR01,AR00400,2026-06-25,STOCK_VARIANCE,MEDIUM,2,OPEN,45.84,0.5172,0.2741,18,EUR,"Counted stock runs 18.5% below book stock across 21 daily counts. Cancellation rate 51.7% against a network baseline of 27.4% for this article (7 events, 15 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000149,WDF01,PF02,AR00136,2026-06-07,STOCK_VARIANCE,MEDIUM,2,OPEN,45.76,0.1321,0.0877,37.8,EUR,"Counted stock runs 16.2% below book stock across 21 daily counts. Cancellation rate 13.2% against a network baseline of 8.8% for this article (14 events, 14 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000150,WDF01,PF02,AR90019,2026-06-27,STOCK_VARIANCE,MEDIUM,2,OPEN,45.68,0.3572,0.2188,68.2,EUR,"Counted stock runs 14.3% below book stock across 21 daily counts. Cancellation rate 35.7% against a network baseline of 21.9% for this article (35 events, 35.001999999999995 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000151,WDF01,PF02,AR00220,2026-04-16,STOCK_VARIANCE,MEDIUM,2,OPEN,45.5,0.5429,0.3349,38.01,EUR,"Counted stock runs 16.0% below book stock across 21 daily counts. Cancellation rate 54.3% against a network baseline of 33.5% for this article (11 events, 38.001 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000152,HAM01,SM-HAM01,AR90053,2026-05-28,STOCK_VARIANCE,MEDIUM,2,OPEN,45.35,0.3462,0.4273,18,EUR,Counted stock runs 18.2% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000153,HAM01,PF-HAM01,AR00394,2026-07-03,STOCK_VARIANCE,MEDIUM,2,OPEN,45.32,0.0571,0.0717,23.2,EUR,Counted stock runs 17.4% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000154,BLN01,SM-BLN01,AR90003,2026-05-01,STOCK_VARIANCE,MEDIUM,2,OPEN,45.21,0.0183,0.0688,1.2,EUR,Counted stock runs 24.9% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000155,WDF02,PF-WDF02,AR00176,2026-05-05,RFID_MISREAD,MEDIUM,2,OPEN,45.17,0.7273,0.3725,11.2,EUR,"Cancellation rate 72.7% against a network baseline of 37.3% for this article (4 events, 8 units). Counted stock runs 11.0% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000156,WDF01,SM01,AR00094,2026-06-05,STOCK_VARIANCE,MEDIUM,2,OPEN,45.14,0.7973,0.8389,17.67,EUR,Counted stock runs 18.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000157,WDF02,PF-WDF02,AR00187,2026-06-19,RFID_MISREAD,MEDIUM,2,OPEN,44.78,0.5556,0.2886,12.5,EUR,"Cancellation rate 55.6% against a network baseline of 28.9% for this article (3 events, 5 units). Counted stock runs 9.3% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000158,WDF01,PF02,AR90055,2026-05-14,STOCK_VARIANCE,MEDIUM,2,OPEN,44.56,0.4265,0.3088,33.03,EUR,"Counted stock runs 15.9% below book stock across 21 daily counts. Cancellation rate 42.6% against a network baseline of 30.9% for this article (29 events, 28.998000000000005 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000159,WDF02,PF-WDF02,AR00219,2026-06-23,RFID_MISREAD,MEDIUM,2,OPEN,44.45,0.8333,0.4265,9.5,EUR,"Cancellation rate 83.3% against a network baseline of 42.6% for this article (3 events, 5 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000160,MUC01,PF-MUC01,AR00278,2026-06-29,STOCK_VARIANCE,MEDIUM,2,OPEN,44.45,0.5,0.5574,71.4,EUR,Counted stock runs 13.4% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000161,STR01,PF-STR01,AR00009,2026-05-27,RFID_MISREAD,MEDIUM,2,OPEN,44.4,0.2632,0.1353,10,EUR,"Cancellation rate 26.3% against a network baseline of 13.5% for this article (5 events, 10 units). Counted stock runs 12.9% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000162,STR01,SM-STR01,AR00118,2026-03-31,STOCK_VARIANCE,MEDIUM,2,OPEN,44.35,0.6667,0.6667,17.7,EUR,Counted stock runs 17.6% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000163,WDF02,PF-WDF02,AR00006,2026-06-25,RFID_MISREAD,MEDIUM,2,OPEN,44.29,0.6364,0.3333,12.6,EUR,"Cancellation rate 63.6% against a network baseline of 33.3% for this article (3 events, 7 units). Counted stock runs 6.2% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000164,MUC01,PF-MUC01,AR00403,2026-04-10,STOCK_VARIANCE,MEDIUM,2,OPEN,44.29,0.5,0.4143,9.6,EUR,"Counted stock runs 19.4% below book stock across 21 daily counts. Cancellation rate 50.0% against a network baseline of 41.4% for this article (4 events, 8 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000165,WDF01,PF02,AR00289,2026-06-02,STOCK_VARIANCE,MEDIUM,2,OPEN,43.99,0.1948,0.1464,33,EUR,"Counted stock runs 15.5% below book stock across 21 daily counts. Cancellation rate 19.5% against a network baseline of 14.6% for this article (12 events, 15 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000166,HAM01,PF-HAM01,AR90019,2026-06-06,STOCK_VARIANCE,MEDIUM,2,OPEN,43.54,0.0845,0.2188,11.7,EUR,Counted stock runs 18.4% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000167,HAM01,PF-HAM01,AR00276,2026-05-16,STOCK_VARIANCE,MEDIUM,2,OPEN,43.5,0.1622,0.1886,14.4,EUR,Counted stock runs 17.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000168,WDF01,MOB1,AR90012,2026-01-20,STOCK_VARIANCE,MEDIUM,2,OPEN,42.97,0.037,0.1921,5.1,EUR,Counted stock runs 20.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000169,STR01,PF-STR01,AR00289,2026-04-20,RFID_MISREAD,MEDIUM,2,OPEN,42.89,0.2692,0.1464,15.4,EUR,"Cancellation rate 26.9% against a network baseline of 14.6% for this article (3 events, 7 units). Counted stock runs 14.7% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000170,HAM01,PF-HAM01,AR90011,2026-06-17,STOCK_VARIANCE,MEDIUM,2,OPEN,42.8,0.1731,0.2277,15.3,EUR,Counted stock runs 17.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000171,MUC01,PF-MUC01,AR00193,2026-05-28,RFID_MISREAD,MEDIUM,2,OPEN,42.69,0.3,0.1611,12.6,EUR,"Cancellation rate 30.0% against a network baseline of 16.1% for this article (4 events, 9 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000172,WDF01,PF02,AR00081,2026-06-25,STOCK_VARIANCE,MEDIUM,2,OPEN,42.63,0.4058,0.3148,53.52,EUR,"Counted stock runs 13.2% below book stock across 21 daily counts. Cancellation rate 40.6% against a network baseline of 31.5% for this article (19 events, 28.002000000000002 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000173,BLN01,SM-BLN01,AR00405,2026-05-29,STOCK_VARIANCE,MEDIUM,2,OPEN,42.53,0.2174,0.3556,6,EUR,Counted stock runs 19.6% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000174,WDF01,PF02,AR00058,2026-06-24,RFID_MISREAD,MEDIUM,2,OPEN,42.47,0.3703,0.211,24.99,EUR,"Cancellation rate 37.0% against a network baseline of 21.1% for this article (10 events, 9.999 units). Counted stock runs 14.6% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000175,WDF01,PF02,AR90027,2026-06-08,STOCK_VARIANCE,MEDIUM,2,OPEN,42.24,0.2857,0.2156,19.2,EUR,"Counted stock runs 16.1% below book stock across 21 daily counts. Cancellation rate 28.6% against a network baseline of 21.6% for this article (12 events, 12 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000176,STR01,SM-STR01,AR00285,2026-05-28,BASKET_ABANDONED,MEDIUM,2,OPEN,42.14,0.6667,0.3711,17.7,EUR,"Cancellation rate 66.7% against a network baseline of 37.1% for this article (3 events, 6 units).",Review basket abandonment at this terminal with the shift lead.
SA-000177,WDF01,PF02,AR00394,2026-05-05,STOCK_VARIANCE,MEDIUM,2,OPEN,42.08,0.0536,0.0717,17.4,EUR,Counted stock runs 16.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000178,STR01,PF-STR01,AR00080,2026-02-25,STOCK_VARIANCE,MEDIUM,2,OPEN,42.06,0.1724,0.2,12.5,EUR,Counted stock runs 17.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000179,WDF01,SM01,AR90004,2026-06-28,STOCK_VARIANCE,MEDIUM,2,OPEN,41.96,0.1682,0.1547,46.35,EUR,"Counted stock runs 13.2% below book stock across 21 daily counts. Cancellation rate 16.8% against a network baseline of 15.5% for this article (186 events, 185.9850000000001 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000180,WDF01,PF02,AR00242,2026-03-15,RFID_MISREAD,MEDIUM,2,OPEN,41.71,0.2325,0.1342,24.99,EUR,"Cancellation rate 23.3% against a network baseline of 13.4% for this article (10 events, 9.999 units). Counted stock runs 7.6% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000181,STR01,PF-STR01,AR00136,2026-07-01,STOCK_VARIANCE,MEDIUM,2,OPEN,41.67,0.1346,0.0877,18.9,EUR,"Counted stock runs 15.8% below book stock across 21 daily counts. Cancellation rate 13.5% against a network baseline of 8.8% for this article (3 events, 7 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000182,WDF01,MOB1,AR90015,2026-01-22,STOCK_VARIANCE,MEDIUM,2,OPEN,41.66,0.0435,0.1486,6.8,EUR,Counted stock runs 18.8% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000183,STR01,PF-STR01,AR00146,2026-05-08,RFID_MISREAD,MEDIUM,2,OPEN,41.59,0.9231,0.5652,47.4,EUR,"Cancellation rate 92.3% against a network baseline of 56.5% for this article (7 events, 12 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000184,WDF01,SM01,AR90003,2026-05-20,STOCK_VARIANCE,MEDIUM,2,OPEN,41.54,0.0303,0.0688,1.8,EUR,Counted stock runs 21.9% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000185,WDF01,PF02,AR00080,2026-06-22,STOCK_VARIANCE,MEDIUM,2,OPEN,41.51,0.2957,0.2,59.52,EUR,"Counted stock runs 12.2% below book stock across 21 daily counts. Cancellation rate 29.6% against a network baseline of 20.0% for this article (19 events, 34.002 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000186,MUC01,PF-MUC01,AR90054,2026-06-03,STOCK_VARIANCE,MEDIUM,2,OPEN,41.49,0.2917,0.4133,11.9,EUR,Counted stock runs 17.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000187,WDF01,PF02,AR90054,2026-06-25,STOCK_VARIANCE,MEDIUM,2,OPEN,41.47,0.5588,0.4133,36.48,EUR,"Counted stock runs 13.7% below book stock across 21 daily counts. Cancellation rate 55.9% against a network baseline of 41.3% for this article (38 events, 38.004000000000005 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000188,MUC01,PF-MUC01,AR00289,2026-05-17,STOCK_VARIANCE,MEDIUM,2,OPEN,41.44,0.2432,0.1464,19.8,EUR,"Counted stock runs 15.5% below book stock across 21 daily counts. Cancellation rate 24.3% against a network baseline of 14.6% for this article (4 events, 9 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000189,WDF01,SM01,AR90015,2026-04-17,STOCK_VARIANCE,MEDIUM,2,OPEN,41.36,0.0538,0.1486,6.36,EUR,Counted stock runs 18.8% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000190,HAM01,PF-HAM01,AR00285,2026-05-30,STOCK_VARIANCE,MEDIUM,2,OPEN,41.26,0.3182,0.3711,20.65,EUR,Counted stock runs 15.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000191,MUC01,PF-MUC01,AR90015,2026-06-05,STOCK_VARIANCE,MEDIUM,2,OPEN,41.22,0.1525,0.1486,15.3,EUR,"Counted stock runs 16.2% below book stock across 21 daily counts. Cancellation rate 15.3% against a network baseline of 14.9% for this article (3 events, 9 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000192,WDF01,MOB1,AR00394,2026-05-04,STOCK_VARIANCE,MEDIUM,2,OPEN,41.19,0.045,0.0717,14.5,EUR,Counted stock runs 16.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000193,HAM01,PF-HAM01,AR00322,2026-06-24,STOCK_VARIANCE,MEDIUM,2,OPEN,41.19,0.3824,0.2817,15.6,EUR,"Counted stock runs 16.1% below book stock across 21 daily counts. Cancellation rate 38.2% against a network baseline of 28.2% for this article (6 events, 13 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000194,STR01,PF-STR01,AR00406,2026-06-23,RFID_MISREAD,MEDIUM,2,OPEN,41.13,1,0.5614,16,EUR,"Cancellation rate 100.0% against a network baseline of 56.1% for this article (3 events, 5 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000195,WDF01,PF02,AR00027,2026-05-03,STOCK_VARIANCE,MEDIUM,2,OPEN,41.09,0.3636,0.705,9.6,EUR,Counted stock runs 17.4% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000196,HAM01,SM-HAM01,AR00059,2026-05-19,STOCK_VARIANCE,MEDIUM,2,OPEN,41.06,0.2632,0.3378,12.5,EUR,Counted stock runs 16.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000197,HAM01,PF-HAM01,AR00059,2026-06-17,STOCK_VARIANCE,MEDIUM,2,OPEN,41.06,0.2632,0.3378,12.5,EUR,Counted stock runs 16.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000198,WDF01,SM01,AR90055,2026-06-16,STOCK_VARIANCE,MEDIUM,2,OPEN,40.98,0.3036,0.3088,16.1,EUR,Counted stock runs 15.9% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000199,WDF01,PF02,AR00321,2026-06-13,STOCK_VARIANCE,MEDIUM,2,OPEN,40.92,0.2308,0.252,7.2,EUR,Counted stock runs 18.2% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000200,WDF01,SM01,AR00081,2026-06-30,STOCK_VARIANCE,MEDIUM,2,OPEN,40.85,0.3167,0.3148,37.74,EUR,"Counted stock runs 13.2% below book stock across 21 daily counts. Cancellation rate 31.7% against a network baseline of 31.5% for this article (19 events, 19.002 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000201,WDF01,PF02,AR00040,2026-04-21,STOCK_VARIANCE,MEDIUM,2,OPEN,40.79,0.3571,0.5185,16.5,EUR,Counted stock runs 15.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000202,WDF02,PF-WDF02,AR00134,2026-05-21,RFID_MISREAD,MEDIUM,2,OPEN,40.78,0.875,0.5122,24.5,EUR,"Cancellation rate 87.5% against a network baseline of 51.2% for this article (3 events, 7 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000203,BLN01,SM-BLN01,AR90030,2026-06-09,STOCK_VARIANCE,MEDIUM,2,OPEN,40.56,0.2051,0.3016,12.8,EUR,Counted stock runs 16.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000204,HAM01,SM-HAM01,AR00285,2026-05-11,STOCK_VARIANCE,MEDIUM,2,OPEN,40.49,0.2857,0.3711,17.7,EUR,Counted stock runs 15.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000205,MUC01,PF-MUC01,AR90011,2026-03-09,STOCK_VARIANCE,MEDIUM,2,OPEN,40.29,0.2083,0.2277,8.5,EUR,Counted stock runs 17.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000206,HAM01,PF-HAM01,AR00154,2026-05-12,STOCK_VARIANCE,MEDIUM,2,OPEN,40.26,0.2222,0.4157,12.8,EUR,Counted stock runs 16.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000207,HAM01,SM-HAM01,AR00407,2026-06-01,STOCK_VARIANCE,MEDIUM,2,OPEN,40.26,0.1923,0.3039,16,EUR,Counted stock runs 15.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000208,WDF01,PF02,AR90041,2026-06-01,STOCK_VARIANCE,MEDIUM,2,OPEN,40.24,0.6538,0.473,28.9,EUR,"Counted stock runs 13.7% below book stock across 21 daily counts. Cancellation rate 65.4% against a network baseline of 47.3% for this article (17 events, 17 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000209,MUC01,PF-MUC01,AR00024,2026-01-28,STOCK_VARIANCE,MEDIUM,2,OPEN,40.15,0.1563,0.163,12.5,EUR,Counted stock runs 16.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000210,MUC01,PF-MUC01,AR00081,2026-03-18,STOCK_VARIANCE,MEDIUM,2,OPEN,40.15,0.1923,0.3148,12.5,EUR,Counted stock runs 16.1% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000211,HAM01,PF-HAM01,AR00080,2026-06-13,STOCK_VARIANCE,MEDIUM,2,OPEN,40.13,0.1132,0.2,30,EUR,Counted stock runs 13.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000212,WDF01,SM01,AR00394,2026-01-18,STOCK_VARIANCE,MEDIUM,2,OPEN,40.11,0.0364,0.0717,11.6,EUR,Counted stock runs 16.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000213,HAM01,SM-HAM01,AR00185,2026-02-22,STOCK_VARIANCE,MEDIUM,2,OPEN,40.03,0.2857,0.3983,18,EUR,Counted stock runs 15.0% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000214,STR01,PF-STR01,AR90033,2026-06-08,STOCK_VARIANCE,MEDIUM,2,OPEN,40.01,0.2353,0.2482,4.8,EUR,Counted stock runs 18.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000215,WDF02,PF-WDF02,AR00055,2026-05-06,STOCK_VARIANCE,MEDIUM,2,OPEN,39.96,0.7778,0.4713,17.5,EUR,"Counted stock runs 15.0% below book stock across 21 daily counts. Cancellation rate 77.8% against a network baseline of 47.1% for this article (3 events, 7 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000216,WDF01,MOB1,AR90021,2026-03-06,STOCK_VARIANCE,MEDIUM,2,OPEN,39.95,0.1875,0.25,14.7,EUR,Counted stock runs 15.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000217,MUC01,PF-MUC01,AR00378,2026-05-31,RFID_MISREAD,MEDIUM,2,OPEN,39.85,0.8889,0.5821,68,EUR,"Cancellation rate 88.9% against a network baseline of 58.2% for this article (7 events, 16 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000218,WDF02,PF-WDF02,AR00220,2026-04-08,STOCK_VARIANCE,MEDIUM,2,OPEN,39.82,0.375,0.3349,6,EUR,"Counted stock runs 18.0% below book stock across 21 daily counts. Cancellation rate 37.5% against a network baseline of 33.5% for this article (4 events, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000219,BLN01,SM-BLN01,AR00024,2026-05-31,STOCK_VARIANCE,MEDIUM,2,OPEN,39.81,0.1071,0.163,15,EUR,Counted stock runs 15.4% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000220,STR01,PF-STR01,AR00177,2026-06-30,RFID_MISREAD,MEDIUM,2,OPEN,39.76,0.9167,0.525,15.4,EUR,"Cancellation rate 91.7% against a network baseline of 52.5% for this article (5 events, 11 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000221,STR01,PF-STR01,AR00122,2026-06-01,RFID_MISREAD,MEDIUM,2,OPEN,39.69,0.8333,0.4697,12.5,EUR,"Cancellation rate 83.3% against a network baseline of 47.0% for this article (3 events, 5 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000222,WDF01,PF02,AR00154,2026-03-29,STOCK_VARIANCE,MEDIUM,2,OPEN,39.61,0.3333,0.4157,19.2,EUR,Counted stock runs 14.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000223,WDF01,SM01,AR90013,2026-06-25,STOCK_VARIANCE,MEDIUM,2,OPEN,39.61,0.2994,0.2148,103.36,EUR,"Counted stock runs 9.3% below book stock across 21 daily counts. Cancellation rate 29.9% against a network baseline of 21.5% for this article (97 events, 96.99200000000005 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000224,MUC01,PF-MUC01,AR00185,2026-04-21,STOCK_VARIANCE,MEDIUM,2,OPEN,39.57,0.5,0.3983,27,EUR,"Counted stock runs 13.5% below book stock across 21 daily counts. Cancellation rate 50.0% against a network baseline of 39.8% for this article (4 events, 12 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000225,WDF01,SM01,AR90054,2026-06-03,STOCK_VARIANCE,MEDIUM,2,OPEN,39.49,0.434,0.4133,24.64,EUR,"Counted stock runs 13.7% below book stock across 21 daily counts. Cancellation rate 43.4% against a network baseline of 41.3% for this article (23 events, 23.002000000000002 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000226,WDF01,PF02,AR00275,2026-05-08,STOCK_VARIANCE,MEDIUM,2,OPEN,39.48,0.4,0.3535,24,EUR,"Counted stock runs 13.8% below book stock across 21 daily counts. Cancellation rate 40.0% against a network baseline of 35.4% for this article (10 events, 9.999 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000227,WDF01,SM01,AR00025,2026-03-10,STOCK_VARIANCE,MEDIUM,2,OPEN,39.47,0.2632,0.381,12.5,EUR,Counted stock runs 15.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000228,WDF01,PF02,AR00001,2026-03-14,STOCK_VARIANCE,MEDIUM,2,OPEN,39.45,0.1042,0.1783,5,EUR,Counted stock runs 18.3% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000229,BLN01,SM-BLN01,AR90038,2026-05-14,STOCK_VARIANCE,MEDIUM,2,OPEN,39.42,0.1795,0.1847,10.5,EUR,Counted stock runs 16.2% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000230,BLN01,SM-BLN01,AR90033,2026-06-03,STOCK_VARIANCE,MEDIUM,2,OPEN,39.41,0.2581,0.2482,9.6,EUR,"Counted stock runs 16.4% below book stock across 21 daily counts. Cancellation rate 25.8% against a network baseline of 24.8% for this article (3 events, 8 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000231,WDF01,PF02,AR00294,2026-06-29,STOCK_VARIANCE,MEDIUM,2,OPEN,39.39,0.3256,0.2529,30.8,EUR,"Counted stock runs 12.9% below book stock across 21 daily counts. Cancellation rate 32.6% against a network baseline of 25.3% for this article (13 events, 14 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000232,HAM01,PF-HAM01,AR90021,2026-04-01,RFID_MISREAD,MEDIUM,2,OPEN,39.38,0.4167,0.25,24.5,EUR,"Cancellation rate 41.7% against a network baseline of 25.0% for this article (3 events, 5 units).",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000233,STR01,PF-STR01,AR00159,2026-06-30,RFID_MISREAD,MEDIUM,2,OPEN,39.31,0.4286,0.2558,22.8,EUR,"Cancellation rate 42.9% against a network baseline of 25.6% for this article (3 events, 6 units). Counted stock runs 7.4% below book stock across 21 daily counts.",Re-tag the facing and run an RFID read test at the gate antenna.
SA-000234,STR01,SM-STR01,AR00027,2026-05-11,STOCK_VARIANCE,MEDIUM,2,OPEN,39.27,0.5833,0.705,8.4,EUR,Counted stock runs 16.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000235,WDF01,MOB1,AR90008,2026-01-31,STOCK_VARIANCE,MEDIUM,2,OPEN,39.25,0.125,0.3361,4.2,EUR,Counted stock runs 18.6% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000236,STR01,PF-STR01,AR00401,2026-06-08,STOCK_VARIANCE,MEDIUM,2,OPEN,39.21,0.5385,0.4,8.4,EUR,"Counted stock runs 16.7% below book stock across 21 daily counts. Cancellation rate 53.8% against a network baseline of 40.0% for this article (3 events, 7 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000237,MUC01,PF-MUC01,AR00274,2026-06-18,STOCK_VARIANCE,MEDIUM,2,OPEN,39.18,0.5833,0.6133,16.8,EUR,Counted stock runs 14.7% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000238,HAM01,PF-HAM01,AR00407,2026-05-05,STOCK_VARIANCE,MEDIUM,2,OPEN,39.17,0.16,0.3039,12.8,EUR,Counted stock runs 15.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000239,HAM01,PF-HAM01,AR00101,2026-07-03,STOCK_VARIANCE,MEDIUM,2,OPEN,39.17,0.4762,0.3939,19,EUR,"Counted stock runs 14.3% below book stock across 21 daily counts. Cancellation rate 47.6% against a network baseline of 39.4% for this article (5 events, 10 units).",Schedule a cycle count and check the shelf for concealed removals.
SA-000240,WDF01,PF02,AR90038,2026-06-01,STOCK_VARIANCE,MEDIUM,2,OPEN,39.04,0.1143,0.1847,6,EUR,Counted stock runs 17.5% below book stock across 21 daily counts.,Schedule a cycle count and check the shelf for concealed removals.
SA-000241,WDF02,PF-WDF02,AR90014,2026-04-17,STOCK_VARIANCE,MEDIUM,2,OPEN,39.02,0.2308,0.1806,10.2,EUR,"Counted stock runs 16.0% below book stock across 21 daily counts. Cancellation rate 23.1% against a network baseline of 18.1% for this article (3 events, 6 units).",Schedule a cycle count and check the shelf for concealed removals.
