ID,store_ID,article_ID,supplier_ID,dueOn,onHand,reorderPoint,recommendedQty,coverageHours,urgency,criticality,state,stockoutRisk,lostSalesValue,currency_code,reasoning
RP-000111,MUC01,AR90030,SUP004,2026-07-03,2.668,6.651,3,58.7,LOW,3,OPEN,0.996,0.91,EUR,"1.09 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 58.7h against a reorder point of 6.7 units."
RP-000112,STR01,AR90012,SUP008,2026-07-03,5.211,9.296,4,112.56,LOW,3,OPEN,0.9678,0.82,EUR,"1.11 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 112.6h against a reorder point of 9.3 units."
RP-000113,STR01,AR00138,SUP005,2026-07-03,0.054,1.757,2,1.13,CRITICAL,1,OPEN,0.9986,0.81,EUR,"1.14 units/day expected, 1-day lead time from Aramark Fresh Kitchen (reliability 97.5%). Cover is 1.1h against a reorder point of 1.8 units."
RP-000114,MUC01,AR00011,SUP004,2026-07-03,2.242,7.935,4,43.35,LOW,3,OPEN,0.9782,0.81,EUR,"1.24 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 43.3h against a reorder point of 7.9 units."
RP-000115,WDF01,AR90016,SUP008,2026-07-03,4.933,8.622,3,111.43,LOW,3,OPEN,0.9885,0.81,EUR,"1.06 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 111.4h against a reorder point of 8.6 units."
RP-000116,WDF02,AR00011,SUP004,2026-07-03,3.054,5,2,42.76,LOW,3,OPEN,0.95,0.78,EUR,"1 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 42.8h against a reorder point of 5 units."
RP-000117,HAM01,AR00211,SUP002,2026-07-03,2.958,5.846,3,38.82,LOW,3,OPEN,0.9868,0.75,EUR,"1.14 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 38.8h against a reorder point of 5.8 units."
RP-000118,WDF01,AR00004,SUP002,2026-07-03,1.64,7.652,7,29,LOW,3,OPEN,0.9986,0.74,EUR,"1.36 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 29h against a reorder point of 7.7 units."
RP-000119,HAM01,AR00320,SUP002,2026-07-03,2.832,5.347,3,39.21,LOW,3,OPEN,0.9953,0.7,EUR,"1.08 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 39.2h against a reorder point of 5.3 units."
RP-000120,MUC01,AR90006,SUP004,2026-07-03,2.525,5,2,60.6,LOW,3,OPEN,0.95,0.7,EUR,"1 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 60.6h against a reorder point of 5 units."
RP-000121,BLN01,AR00401,SUP003,2026-07-03,1.845,4.008,3,29.27,LOW,3,OPEN,0.9985,0.64,EUR,"1.07 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 29.3h against a reorder point of 4 units."
RP-000122,HAM01,AR00402,SUP007,2026-07-03,4.561,9,2,68.42,LOW,3,OPEN,0.95,0.64,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 68.4h against a reorder point of 9 units."
RP-000123,WDF01,AR00026,SUP008,2026-07-03,4.137,11.358,5,79.43,LOW,3,OPEN,0.8661,0.64,EUR,"1.25 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 79.4h against a reorder point of 11.4 units."
RP-000124,BLN01,AR90016,SUP008,2026-07-03,6.51,9.311,3,99.6,LOW,3,OPEN,0.9308,0.64,EUR,"1.11 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 99.6h against a reorder point of 9.3 units."
RP-000125,MUC01,AR00403,SUP008,2026-07-03,5.447,7,2,130.73,LOW,3,OPEN,0.95,0.63,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 130.7h against a reorder point of 7 units."
RP-000126,WDF01,AR90055,SUP002,2026-07-03,2.63,6.598,3,51.79,LOW,3,OPEN,0.8976,0.61,EUR,"1.22 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 51.8h against a reorder point of 6.6 units."
RP-000127,WDF02,AR00402,SUP007,2026-07-03,6.645,9,2,93.03,LOW,3,OPEN,0.95,0.61,EUR,"1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 93h against a reorder point of 9 units."
RP-000128,HAM01,AR90016,SUP008,2026-07-03,4.871,7,2,73.07,LOW,3,OPEN,0.95,0.58,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 73.1h against a reorder point of 7 units."
RP-000129,HAM01,AR90053,SUP002,2026-07-03,1.971,4,2,29.57,LOW,3,OPEN,0.95,0.56,EUR,"1 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 29.6h against a reorder point of 4 units."
RP-000130,STR01,AR90055,SUP002,2026-07-03,2.767,6.915,4,53.76,LOW,3,OPEN,0.8518,0.54,EUR,"1.24 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 53.8h against a reorder point of 6.9 units."
RP-000131,STR01,AR00292,SUP008,2026-07-03,3.207,7,1,76.97,LOW,3,OPEN,0.95,0.53,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 77h against a reorder point of 7 units."
RP-000132,HAM01,AR00154,SUP003,2026-07-03,1,4.656,2,12.86,MEDIUM,2,OPEN,0.7708,0.52,EUR,"1.17 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 12.9h against a reorder point of 4.7 units."
RP-000133,STR01,AR00026,SUP008,2026-07-03,2.8,7,2,67.2,LOW,3,OPEN,0.95,0.52,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 67.2h against a reorder point of 7 units."
RP-000134,HAM01,AR00064,SUP008,2026-07-03,4.445,7,1,66.68,LOW,3,OPEN,0.95,0.49,EUR,"1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 66.7h against a reorder point of 7 units."
RP-000135,HAM01,AR00405,SUP008,2026-07-03,4.552,9.199,3,62.07,LOW,3,OPEN,0.915,0.45,EUR,"1.1 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 62.1h against a reorder point of 9.2 units."
RP-000136,WDF01,AR90041,SUP003,2026-07-03,1.818,6.103,4,33.94,LOW,3,OPEN,0.7863,0.44,EUR,"1.29 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 33.9h against a reorder point of 6.1 units."
RP-000137,MUC01,AR00090,SUP010,2026-07-03,2.611,4.705,3,53.71,LOW,3,OPEN,0.8957,0.4,EUR,"1.17 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 53.7h against a reorder point of 4.7 units."
RP-000138,WDF02,AR00405,SUP008,2026-07-03,5.809,9.551,3,72.29,LOW,3,OPEN,0.8728,0.39,EUR,"1.13 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 72.3h against a reorder point of 9.6 units."
RP-000139,WDF01,AR90038,SUP008,2026-07-03,4.315,10.676,4,86.86,LOW,3,OPEN,0.7861,0.39,EUR,"1.19 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 86.9h against a reorder point of 10.7 units."
RP-000140,MUC01,AR00213,SUP008,2026-07-03,5.673,8.952,3,125.68,LOW,3,OPEN,0.8834,0.38,EUR,"1.08 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 125.7h against a reorder point of 9 units."
RP-000141,MUC01,AR90029,SUP002,2026-07-03,3.227,4,1,77.45,LOW,3,OPEN,0.95,0.37,EUR,"1 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 77.4h against a reorder point of 4 units."
RP-000142,HAM01,AR00276,SUP007,2026-07-03,6.346,12.241,3,85.98,LOW,3,OPEN,0.6897,0.33,EUR,"1.11 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 86h against a reorder point of 12.2 units."
RP-000143,HAM01,AR00416,SUP003,2026-07-03,1.485,3,1,22.28,LOW,3,OPEN,0.95,0.31,EUR,"1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 22.3h against a reorder point of 3 units."
RP-000144,WDF02,AR90037,SUP010,2026-07-03,2.351,3,1,32.91,LOW,3,OPEN,0.95,0.3,EUR,"1 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 32.9h against a reorder point of 3 units."
RP-000145,HAM01,AR00058,SUP002,2026-07-03,3.132,5.83,2,41.11,LOW,3,OPEN,0.73,0.3,EUR,"1.14 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 41.1h against a reorder point of 5.8 units."
RP-000146,WDF01,AR00111,SUP002,2026-07-03,3.937,5.347,2,87.22,LOW,3,OPEN,0.7538,0.29,EUR,"1.08 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 87.2h against a reorder point of 5.3 units."
RP-000147,BLN01,AR90030,SUP004,2026-07-03,2.424,5,1,41.21,LOW,3,OPEN,0.95,0.28,EUR,"1 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 41.2h against a reorder point of 5 units."
RP-000148,MUC01,AR00319,SUP008,2026-07-03,3.699,8.506,2,84.1,LOW,3,OPEN,0.8657,0.28,EUR,"1.06 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 84.1h against a reorder point of 8.5 units."
RP-000149,WDF01,AR00220,SUP010,2026-07-03,3.391,7.205,4,55.95,LOW,3,OPEN,0.7202,0.27,EUR,"1.45 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 56h against a reorder point of 7.2 units."
RP-000150,HAM01,AR00026,SUP008,2026-07-03,6.185,10.056,3,81.53,LOW,3,OPEN,0.7482,0.27,EUR,"1.14 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 81.5h against a reorder point of 10.1 units."
RP-000151,WDF01,AR00403,SUP008,2026-07-03,6.179,9.551,3,131.82,LOW,3,OPEN,0.7716,0.23,EUR,"1.13 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 131.8h against a reorder point of 9.6 units."
RP-000152,HAM01,AR00060,SUP002,2026-07-03,3.881,4.957,2,55.57,LOW,3,OPEN,0.7609,0.22,EUR,"1.05 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 55.6h against a reorder point of 5 units."
RP-000153,WDF01,AR00002,SUP003,2026-07-03,1.979,5.463,3,35.62,LOW,3,OPEN,0.8844,0.18,EUR,"1.33 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 35.6h against a reorder point of 5.5 units."
RP-000154,STR01,AR90014,SUP004,2026-07-03,3.186,6.965,2,67.97,LOW,3,OPEN,0.7194,0.17,EUR,"1.13 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 68h against a reorder point of 7 units."
RP-000155,WDF01,AR90002,SUP007,2026-07-03,0.859,20.233,17,25.43,LOW,3,OPEN,0.6859,0.16,EUR,"0.81 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 25.4h against a reorder point of 20.2 units."
RP-000156,HAM01,AR90030,SUP004,2026-07-03,4.959,6.256,2,70.25,LOW,3,OPEN,0.7317,0.12,EUR,"1.06 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 70.3h against a reorder point of 6.3 units."
RP-000157,BLN01,AR00394,SUP003,2026-07-03,1.379,6.88,3,15.49,MEDIUM,2,OPEN,0.5475,0.11,EUR,"1.51 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 15.5h against a reorder point of 6.9 units."
RP-000158,MUC01,AR90002,SUP007,2026-07-03,0.472,5.308,5,51.73,LOW,3,OPEN,0.7936,0.08,EUR,"0.22 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 51.7h against a reorder point of 5.3 units."
RP-000159,BLN01,AR00004,SUP002,2026-07-03,1.137,5.947,2,16.69,LOW,3,OPEN,0.7454,0.07,EUR,"1.16 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 16.7h against a reorder point of 5.9 units."
RP-000160,BLN01,AR00403,SUP008,2026-07-03,5.329,8.952,2,83.62,LOW,3,OPEN,0.6304,0.07,EUR,"1.08 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 83.6h against a reorder point of 9 units."
RP-000161,BLN01,AR90055,SUP002,2026-07-03,3.315,5.538,2,50.86,LOW,3,OPEN,0.574,0.04,EUR,"1.11 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 50.9h against a reorder point of 5.5 units."
RP-000162,BLN01,AR00320,SUP002,2026-07-03,2.517,5.907,2,37.08,LOW,3,OPEN,0.5532,0.03,EUR,"1.15 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 37.1h against a reorder point of 5.9 units."
RP-000163,WDF01,AR90029,SUP002,2026-07-03,2.413,5.769,2,51.1,LOW,3,OPEN,0.5679,0.03,EUR,"1.13 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 51.1h against a reorder point of 5.8 units."
RP-000164,HAM01,AR00401,SUP003,2026-07-03,3.218,4.239,2,43.88,LOW,3,OPEN,0.5595,0.02,EUR,"1.1 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 43.9h against a reorder point of 4.2 units."
RP-000165,BLN01,AR90002,SUP007,2026-07-03,2.888,9.553,7,129.88,LOW,3,OPEN,0.5605,0.02,EUR,"0.38 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 129.9h against a reorder point of 9.6 units."
RP-000166,WDF01,AR00209,SUP010,2026-07-03,2.553,7.598,4,39.53,LOW,3,OPEN,0.5224,0.01,EUR,"1.55 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 39.5h against a reorder point of 7.6 units."
RP-000167,BLN01,AR00026,SUP008,2026-07-03,4.232,8.259,2,69.07,LOW,3,OPEN,0.544,0.01,EUR,"1.04 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 69.1h against a reorder point of 8.3 units."
RP-000168,STR01,AR00065,SUP003,2026-07-03,0.755,4.83,2,15.1,MEDIUM,2,OPEN,0.4144,0,EUR,"1.2 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 15.1h against a reorder point of 4.8 units."
RP-000169,WDF01,AR00187,SUP009,2026-07-03,0.912,2.489,1,15.63,MEDIUM,2,OPEN,0.2091,0,EUR,"1.4 units/day expected, 1-day lead time from Regional Bakery Kraichgau (reliability 95.8%). Cover is 15.6h against a reorder point of 2.5 units."
RP-000170,WDF01,AR00001,SUP001,2026-07-03,1.24,5.696,2,20.76,LOW,3,OPEN,0.2081,0,EUR,"1.43 units/day expected, 2-day lead time from Red Bull Deutschland (reliability 98.5%). Cover is 20.8h against a reorder point of 5.7 units."
RP-000171,WDF01,AR90015,SUP009,2026-07-03,0.618,2.784,3,28.27,LOW,3,OPEN,0.4716,0,EUR,"0.52 units/day expected, 1-day lead time from Regional Bakery Kraichgau (reliability 95.8%). Cover is 28.3h against a reorder point of 2.8 units."
RP-000172,WDF02,AR00065,SUP003,2026-07-03,3.655,4.713,2,43.86,LOW,3,OPEN,0.4132,0,EUR,"1.17 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 43.9h against a reorder point of 4.7 units."
RP-000173,WDF01,AR00056,SUP010,2026-07-03,2.327,5.461,2,45.38,LOW,3,OPEN,0.2704,0,EUR,"1.23 units/day expected, 3-day lead time from Unilever Ice Cream DE (reliability 96.8%). Cover is 45.4h against a reorder point of 5.5 units."
RP-000174,WDF01,AR00060,SUP002,2026-07-03,2.639,6.352,1,52.16,LOW,3,OPEN,0.1793,0,EUR,"1.21 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 52.2h against a reorder point of 6.4 units."
RP-000175,MUC01,AR00024,SUP002,2026-07-03,2.811,5.686,1,59.97,LOW,3,OPEN,0.3227,0,EUR,"1.13 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 60h against a reorder point of 5.7 units."
RP-000176,WDF01,AR00065,SUP003,2026-07-03,1.74,6.639,3,75.38,LOW,3,OPEN,0.237,0,EUR,"0.55 units/day expected, 3-day lead time from Hochwald Foods (reliability 96.2%). Cover is 75.4h against a reorder point of 6.6 units."
RP-000177,MUC01,AR00111,SUP002,2026-07-03,3.523,5.615,2,76.1,LOW,3,OPEN,0.4531,0,EUR,"1.11 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 76.1h against a reorder point of 5.6 units."
RP-000178,HAM01,AR00004,SUP002,2026-07-03,6.644,7.461,1,79.04,LOW,3,OPEN,0.1226,0,EUR,"1.26 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 79h against a reorder point of 7.5 units."
RP-000179,WDF01,AR00136,SUP006,2026-07-03,2.199,4.378,3,82.85,LOW,3,OPEN,0.3097,0,EUR,"0.64 units/day expected, 2-day lead time from Coca-Cola European Partners (reliability 99.0%). Cover is 82.9h against a reorder point of 4.4 units."
RP-000180,MUC01,AR00060,SUP002,2026-07-03,3.804,5.347,1,84.27,LOW,3,OPEN,0.2075,0,EUR,"1.08 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 84.3h against a reorder point of 5.3 units."
RP-000181,BLN01,AR00454,SUP008,2026-07-03,5.919,8.974,2,92.57,LOW,3,OPEN,0.342,0,EUR,"1.09 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 92.6h against a reorder point of 9 units."
RP-000182,STR01,AR90013,SUP004,2026-07-03,6.704,11.008,3,103.91,LOW,3,OPEN,0.3006,0,EUR,"1.55 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 103.9h against a reorder point of 11 units."
RP-000183,WDF01,AR00084,SUP007,2026-07-03,1.033,6.378,5,114.78,LOW,3,OPEN,0.4854,0,EUR,"0.22 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 114.8h against a reorder point of 6.4 units."
RP-000184,MUC01,AR00084,SUP007,2026-07-03,0.991,4.896,1,140.73,LOW,3,OPEN,0.091,0,EUR,"0.17 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 140.7h against a reorder point of 4.9 units."
RP-000185,HAM01,AR00395,SUP008,2026-07-03,2.844,6.466,3,141.1,LOW,3,OPEN,0.2384,0,EUR,"0.3 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 141.1h against a reorder point of 6.5 units."
RP-000186,MUC01,AR90018,SUP007,2026-07-03,2.232,6.35,2,169.34,LOW,3,OPEN,0.1073,0,EUR,"0.32 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 169.3h against a reorder point of 6.4 units."
RP-000187,WDF01,AR90012,SUP008,2026-07-03,0.926,5.618,2,170.08,LOW,3,OPEN,0.1257,0,EUR,"0.13 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 170.1h against a reorder point of 5.6 units."
RP-000188,BLN01,AR90018,SUP007,2026-07-03,2.596,5.746,3,189.95,LOW,3,OPEN,0.2264,0,EUR,"0.23 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 190h against a reorder point of 5.7 units."
RP-000189,BLN01,AR90013,SUP004,2026-07-03,3.04,6.149,4,218.37,LOW,3,OPEN,0.2535,0,EUR,"0.24 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 218.4h against a reorder point of 6.1 units."
RP-000190,HAM01,AR90018,SUP007,2026-07-03,1.456,4.264,3,220.61,LOW,3,OPEN,0.38,0,EUR,"0.1 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 220.6h against a reorder point of 4.3 units."
RP-000191,WDF01,AR90018,SUP007,2026-07-03,2.802,8.056,5,223.42,LOW,3,OPEN,0.3547,0,EUR,"0.3 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 223.4h against a reorder point of 8.1 units."
RP-000192,WDF01,AR90013,SUP004,2026-07-03,4.87,11.437,7,229.33,LOW,3,OPEN,0.3215,0,EUR,"0.51 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 229.3h against a reorder point of 11.4 units."
RP-000193,HAM01,AR90002,SUP007,2026-07-03,4.358,8.251,2,229.64,LOW,3,OPEN,0.1119,0,EUR,"0.28 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 229.6h against a reorder point of 8.3 units."
RP-000194,STR01,AR90039,SUP002,2026-07-03,2.206,2.923,1,264.72,LOW,3,OPEN,0.1226,0,EUR,"0.2 units/day expected, 4-day lead time from Koro Handels GmbH (reliability 94.0%). Cover is 264.7h against a reorder point of 2.9 units."
RP-000195,WDF02,AR90002,SUP007,2026-07-03,4.12,4.835,1,271.22,LOW,3,OPEN,0.0843,0,EUR,"0.21 units/day expected, 9-day lead time from Nordic Trading AB (reliability 90.5%). Cover is 271.2h against a reorder point of 4.8 units."
RP-000196,WDF01,AR00081,SUP001,2026-07-03,2.721,7.605,4,612.23,LOW,3,OPEN,0.2133,0,EUR,"0.11 units/day expected, 2-day lead time from Red Bull Deutschland (reliability 98.5%). Cover is 612.2h against a reorder point of 7.6 units."
RP-000197,BLN01,AR90012,SUP008,2026-07-03,1.162,2.729,2,999,LOW,3,OPEN,0.2376,0,EUR,"0.02 units/day expected, 7-day lead time from Vitamin Well Nordics (reliability 92.1%). Cover is 1118.2h against a reorder point of 2.7 units."
RP-000198,HAM01,AR00080,SUP004,2026-07-03,1.5,3.276,1,999,LOW,3,OPEN,0.0892,0,EUR,"0.01 units/day expected, 5-day lead time from Welde Braumanufaktur (reliability 93.0%). Cover is 1824.3h against a reorder point of 3.3 units."
